date,鼻水+鼻づまり+くしゃみ+目のかゆみ,overlap
2018-12-30,52.0,1.0
2018-12-31,44.0,1.0
2019-01-01,42.0,1.0
2019-01-02,54.0,1.0
2019-01-03,54.0,1.0
2019-01-04,62.0,1.0
2019-01-05,58.0,1.0
2019-01-06,41.0,1.0
2019-01-07,52.0,1.0
2019-01-08,58.0,1.0
2019-01-09,56.0,1.0
2019-01-10,46.0,1.0
2019-01-11,40.0,1.0
2019-01-12,48.0,1.0
2019-01-13,48.0,1.0
2019-01-14,56.0,1.0
2019-01-15,46.0,1.0
2019-01-16,42.0,1.0
2019-01-17,50.0,1.0
2019-01-18,47.0,1.0
2019-01-19,53.0,1.0
2019-01-20,56.0,1.0
2019-01-21,49.0,1.0
2019-01-22,47.0,1.0
2019-01-23,54.0,1.0
2019-01-24,48.0,1.0
2019-01-25,50.0,1.0
2019-01-26,47.0,1.0
2019-01-27,48.0,1.0
2019-01-28,56.0,1.0
2019-01-29,52.0,1.0
2019-01-30,47.0,1.0
2019-01-31,45.0,1.0
2019-02-01,40.0,1.0
2019-02-02,53.0,1.0
2019-02-03,40.0,1.0
2019-02-04,41.0,1.0
2019-02-05,49.0,1.0
2019-02-06,46.0,1.0
2019-02-07,41.0,1.0
2019-02-08,36.0,1.0
2019-02-09,38.0,1.0
2019-02-10,38.0,1.0
2019-02-11,48.0,1.0
2019-02-12,46.0,1.0
2019-02-13,40.0,1.0
2019-02-14,44.0,1.0
2019-02-15,40.0,1.0
2019-02-16,39.0,1.0
2019-02-17,42.0,1.0
2019-02-18,45.0,1.0
2019-02-19,44.0,1.0
2019-02-20,49.0,1.0
2019-02-21,53.0,1.0
2019-02-22,48.0,1.0
2019-02-23,58.0,1.0
2019-02-24,56.0,1.0
2019-02-25,51.0,1.0
2019-02-26,90.0,1.0
2019-02-27,72.0,1.0
2019-02-28,60.0,1.0
2019-03-01,63.0,1.0
2019-03-02,81.0,1.0
2019-03-03,68.0,1.0
2019-03-04,61.0,1.0
2019-03-05,77.0,1.0
2019-03-06,88.0,1.0
2019-03-07,64.0,1.0
2019-03-08,100.0,1.0
2019-03-09,96.0,1.0
2019-03-10,86.0,1.0
2019-03-11,66.0,1.0
2019-03-12,74.0,
2019-03-13,89.0,
2019-03-14,92.0,
2019-03-15,65.0,
2019-03-16,62.0,
2019-03-17,71.0,
2019-03-18,64.0,
2019-03-19,59.0,
2019-03-20,65.0,
2019-03-21,72.0,
2019-03-22,77.0,
2019-03-23,73.0,
2019-03-24,55.0,
2019-03-25,57.0,
2019-03-26,69.0,
2019-03-27,62.0,
2019-03-28,61.0,
2019-03-29,41.0,
2019-03-30,54.0,
2019-03-31,52.0,
2019-04-01,40.0,
2019-04-02,43.0,
2019-04-03,50.0,
2019-04-04,55.0,
2019-04-05,54.0,
2019-04-06,80.0,
2019-04-07,66.0,
2019-04-08,52.0,
2019-04-09,53.0,
2019-04-10,50.0,
2019-04-11,58.0,
2019-04-12,59.0,
2019-04-13,49.0,
2019-04-14,55.0,
2019-04-15,70.0,
2019-04-16,49.0,
2019-04-17,55.0,
2019-04-18,50.0,
2019-04-19,44.0,
2019-04-20,58.0,
2019-04-21,58.0,
2019-04-22,56.0,
2019-04-23,67.0,
2019-04-24,58.0,
2019-04-25,43.0,
2019-04-26,43.0,
2019-04-27,39.0,
2019-04-28,49.0,
2019-04-29,45.0,
2019-04-30,48.0,
2019-05-01,40.0,
2019-05-02,45.0,
2019-05-03,47.0,
2019-05-04,67.0,
2019-05-05,62.0,
2019-05-06,63.0,
2019-05-07,63.0,
2019-05-08,67.0,
2019-05-09,61.0,
2019-05-10,56.0,
2019-05-11,55.0,
2019-05-12,55.0,
2019-05-13,48.0,
2019-05-14,49.0,
2019-05-15,51.0,
2019-05-16,49.0,
2019-05-17,43.0,
2019-05-18,47.0,
2019-05-19,56.0,1.0
2019-05-20,38.0,1.0
2019-05-21,45.0,1.0
2019-05-22,40.0,1.0
2019-05-23,55.0,1.0
2019-05-24,55.0,1.0
2019-05-25,48.0,1.0
2019-05-26,53.0,1.0
2019-05-27,56.0,1.0
2019-05-28,49.0,1.0
2019-05-29,47.0,1.0
2019-05-30,49.0,1.0
2019-05-31,39.0,1.0
2019-06-01,42.0,1.0
2019-06-02,48.0,1.0
2019-06-03,38.0,1.0
2019-06-04,36.0,1.0
2019-06-05,42.0,1.0
2019-06-06,41.0,1.0
2019-06-07,30.0,1.0
2019-06-08,33.0,1.0
2019-06-09,36.0,1.0
2019-06-10,37.0,1.0
2019-06-11,46.0,1.0
2019-06-12,43.0,1.0
2019-06-13,39.0,1.0
2019-06-14,37.0,1.0
2019-06-15,37.0,1.0
2019-06-16,36.0,1.0
2019-06-17,40.0,1.0
2019-06-18,34.0,1.0
2019-06-19,50.0,1.0
2019-06-20,43.0,1.0
2019-06-21,45.0,1.0
2019-06-22,40.0,1.0
2019-06-23,38.0,1.0
2019-06-24,41.0,1.0
2019-06-25,29.0,1.0
2019-06-26,34.0,1.0
2019-06-27,33.0,1.0
2019-06-28,32.0,1.0
2019-06-29,31.0,1.0
2019-06-30,34.0,1.0
2019-07-01,36.0,1.0
2019-07-02,37.0,1.0
2019-07-03,36.0,1.0
2019-07-04,46.0,1.0
2019-07-05,35.0,1.0
2019-07-06,34.0,1.0
2019-07-07,35.0,1.0
2019-07-08,38.0,1.0
2019-07-09,36.0,1.0
2019-07-10,35.0,1.0
2019-07-11,40.0,1.0
2019-07-12,29.0,1.0
2019-07-13,33.0,1.0
2019-07-14,29.0,1.0
2019-07-15,30.0,1.0
2019-07-16,40.0,1.0
2019-07-17,30.0,1.0
2019-07-18,38.0,1.0
2019-07-19,29.0,1.0
2019-07-20,28.0,1.0
2019-07-21,29.0,1.0
2019-07-22,32.0,1.0
2019-07-23,39.0,1.0
2019-07-24,37.0,1.0
2019-07-25,33.0,1.0
2019-07-26,34.0,1.0
2019-07-27,33.0,1.0
2019-07-28,31.0,1.0
2019-07-29,38.0,1.0
2019-07-30,36.0,1.0
2019-07-31,37.0,1.0
2019-08-01,33.0,1.0
2019-08-02,35.0,1.0
2019-08-03,30.0,1.0
2019-08-04,40.0,1.0
2019-08-05,38.0,1.0
2019-08-06,33.0,1.0
2019-08-07,35.0,1.0
2019-08-08,45.0,1.0
2019-08-09,28.0,1.0
2019-08-10,30.0,1.0
2019-08-11,33.0,1.0
2019-08-12,33.0,1.0
2019-08-13,34.0,1.0
2019-08-14,39.0,1.0
2019-08-15,34.0,1.0
2019-08-16,37.0,1.0
2019-08-17,33.0,1.0
2019-08-18,30.0,1.0
2019-08-19,30.0,1.0
2019-08-20,25.0,1.0
2019-08-21,31.0,1.0
2019-08-22,34.0,1.0
2019-08-23,27.0,1.0
2019-08-24,33.0,1.0
2019-08-25,35.0,1.0
2019-08-26,35.0,1.0
2019-08-27,35.0,1.0
2019-08-28,38.0,
2019-08-29,25.0,
2019-08-30,34.0,
2019-08-31,30.0,
2019-09-01,34.0,
2019-09-02,41.0,
2019-09-03,34.0,
2019-09-04,32.0,
2019-09-05,28.0,
2019-09-06,35.0,
2019-09-07,35.0,
2019-09-08,32.0,
2019-09-09,27.0,
2019-09-10,41.0,
2019-09-11,29.0,
2019-09-12,35.0,
2019-09-13,38.0,
2019-09-14,41.0,
2019-09-15,41.0,
2019-09-16,37.0,
2019-09-17,41.0,
2019-09-18,30.0,
2019-09-19,40.0,
2019-09-20,32.0,
2019-09-21,45.0,
2019-09-22,28.0,
2019-09-23,36.0,
2019-09-24,37.0,
2019-09-25,45.0,
2019-09-26,52.0,
2019-09-27,46.0,
2019-09-28,36.0,
2019-09-29,34.0,
2019-09-30,40.0,
2019-10-01,34.0,
2019-10-02,38.0,
2019-10-03,43.0,
2019-10-04,31.0,
2019-10-05,50.0,
2019-10-06,48.0,
2019-10-07,44.0,
2019-10-08,45.0,
2019-10-09,52.0,
2019-10-10,41.0,
2019-10-11,32.0,
2019-10-12,28.0,
2019-10-13,45.0,
2019-10-14,48.0,
2019-10-15,46.0,
2019-10-16,58.0,
2019-10-17,54.0,
2019-10-18,43.0,
2019-10-19,46.0,
2019-10-20,46.0,
2019-10-21,45.0,
2019-10-22,56.0,
2019-10-23,43.0,
2019-10-24,44.0,
2019-10-25,32.0,
2019-10-26,42.0,
2019-10-27,43.0,
2019-10-28,54.0,
2019-10-29,52.0,
2019-10-30,34.0,
2019-10-31,54.0,
2019-11-01,59.0,
2019-11-02,57.0,
2019-11-03,52.0,
2019-11-04,60.0,1.0
2019-11-05,54.0,1.0
2019-11-06,60.0,1.0
2019-11-07,54.0,1.0
2019-11-08,49.0,1.0
2019-11-09,60.0,1.0
2019-11-10,62.0,1.0
2019-11-11,56.0,1.0
2019-11-12,55.0,1.0
2019-11-13,54.0,1.0
2019-11-14,49.0,1.0
2019-11-15,47.0,1.0
2019-11-16,39.0,1.0
2019-11-17,60.0,1.0
2019-11-18,51.0,1.0
2019-11-19,43.0,1.0
2019-11-20,49.0,1.0
2019-11-21,55.0,1.0
2019-11-22,40.0,1.0
2019-11-23,37.0,1.0
2019-11-24,37.0,1.0
2019-11-25,40.0,1.0
2019-11-26,42.0,1.0
2019-11-27,44.0,1.0
2019-11-28,36.0,1.0
2019-11-29,45.0,1.0
2019-11-30,46.0,1.0
2019-12-01,53.0,1.0
2019-12-02,42.0,1.0
2019-12-03,48.0,1.0
2019-12-04,45.0,1.0
2019-12-05,44.0,1.0
2019-12-06,46.0,1.0
2019-12-07,41.0,1.0
2019-12-08,43.0,1.0
2019-12-09,40.0,1.0
2019-12-10,43.0,1.0
2019-12-11,39.0,1.0
2019-12-12,34.0,1.0
2019-12-13,41.0,1.0
2019-12-14,36.0,1.0
2019-12-15,42.0,1.0
2019-12-16,39.0,1.0
2019-12-17,44.0,1.0
2019-12-18,51.0,1.0
2019-12-19,42.0,1.0
2019-12-20,43.0,1.0
2019-12-21,33.0,1.0
2019-12-22,40.0,1.0
2019-12-23,44.0,1.0
2019-12-24,45.0,1.0
2019-12-25,52.0,1.0
2019-12-26,44.0,1.0
2019-12-27,40.0,1.0
2019-12-28,45.0,1.0
2019-12-29,41.0,1.0
2019-12-30,41.0,1.0
2019-12-31,36.0,1.0
2020-01-01,40.0,1.0
2020-01-02,46.0,1.0
2020-01-03,49.0,1.0
2020-01-04,39.0,1.0
2020-01-05,48.0,1.0
2020-01-06,55.0,1.0
2020-01-07,47.0,1.0
2020-01-08,43.0,1.0
2020-01-09,49.0,1.0
2020-01-10,34.0,1.0
2020-01-11,46.0,1.0
2020-01-12,39.0,1.0
2020-01-13,44.0,1.0
2020-01-14,46.0,1.0
2020-01-15,46.0,1.0
2020-01-16,38.0,1.0
2020-01-17,40.0,1.0
2020-01-18,39.0,1.0
2020-01-19,36.0,1.0
2020-01-20,38.0,1.0
2020-01-21,44.0,1.0
2020-01-22,43.0,1.0
2020-01-23,36.0,1.0
2020-01-24,42.0,1.0
2020-01-25,48.0,1.0
2020-01-26,47.0,1.0
2020-01-27,37.0,1.0
2020-01-28,46.0,1.0
2020-01-29,45.0,1.0
2020-01-30,44.0,1.0
2020-01-31,46.0,1.0
2020-02-01,50.0,1.0
2020-02-02,43.0,1.0
2020-02-03,40.0,1.0
2020-02-04,50.0,1.0
2020-02-05,47.0,1.0
2020-02-06,51.0,1.0
2020-02-07,52.0,1.0
2020-02-08,41.0,1.0
2020-02-09,48.0,1.0
2020-02-10,43.0,1.0
2020-02-11,55.0,1.0
2020-02-12,51.0,1.0
2020-02-13,45.0,
2020-02-14,47.0,
2020-02-15,46.0,
2020-02-16,46.0,
2020-02-17,55.0,
2020-02-18,67.0,
2020-02-19,54.0,
2020-02-20,51.0,
2020-02-21,61.0,
2020-02-22,53.0,
